"&Delta;<SUP>2,5</SUP>-3,4,4-trimethylpimeloyl-CoA"	"CPD-869"	"C31H43N7O19P3S1"	-449.51227    
"&Delta;<sup>24-25</sup>-sitosterol"	"CPD-4142"	"C29H48O1"	521.3238    
"&Delta;<sup>6</sup>-protoilludene"	"CPD-14796"	"C15H24"	303.12692    
"&Delta;<sup>9</sup>-tetrahydrocannabinolate"	"CPD-7169"	"C22H29O4"	196.61043    
"&Delta;<sup>9</sup>tetrahydrocannabinol"	"CPD-7172"	"C21H30O2"	289.8236    
"&Psi;-taraxasterol"	"CPD-6950"	"C30H50O1"	491.62607    
"&alpha; -allenylagmatine"	"CPD0-1659"	"C8H16N4"	202.52792    
"&alpha; -ethynylagmatine"	"CPD0-1660"	"C7H14N4"	264.6157    
"&alpha;, &alpha;'-trehalose 6,6'-bismycolate"	"ALPHAALPHA-TREHALOSE-66-BISMYCOLATE"	"C168H322O15"	3117.0508    
"&alpha;,&alpha;-trehalose"	"TREHALOSE"	"C12H22O11"	-150.79538    
"&alpha;,&alpha;-trehalose 6-phosphate"	"TREHALOSE-6P"	"C12H21O14P1"	-374.81473    
"&alpha;,&beta;-didehydrotryptophan"	"ALPHABETA-DIDEHYDROTRYPTOPHAN"	"C11H9N2O2"	68.979034    
"&alpha;,&beta;-dihydroxanthohumol"	"CPD-7131"	"C21H23O5"	162.68372    
"&alpha;,&beta;-trehalose"	"ALPHABETA-TREHALOSE"	"C12H22O11"	-150.79538    
"&alpha;,&beta;-trehalose 6-phosphate"	"CPD-16162"	"C12H21O14P1"	-374.81473    
"&alpha;,&epsilon;-diketopimelate"	"CPD-5061"	"C7H6O6"	-152.84152    
"&alpha;,&omega;-9<i>Z</i>-octadecenedioate"	"OCTADEC-9-ENE-118-DIOIC-ACID"	"C18H30O4"	188.96536    
"&alpha;-(2,6-anhydro-3-deoxy-D-arabino-heptulopyranosid)onate 7-phosphate"	"CPD0-1370"	"C7H10O9P1"	-332.63736    
"&alpha;-(2,6-anhydro-3-deoxy-D-arabino-heptulopyranosid)onate 7-phosphonate"	"CPD0-1372"	"C7H14O8P1"	-237.87639    
"&alpha;-(2-methoxyphenoxy)-&beta;-hydroxypropiovanillone"	"MPHPV"	"C17H18O6"	70.99019    
"&alpha;-10-hydroxy-12-demethyl-11,12-dehydropaspaline"	"CPD-16751"	"C27H35N1O3"	386.80927    
"&alpha;-3',4'-anhydrovinblastine"	"CPD-13001"	"C46H58N4O8"	436.62775    
"&alpha;-<i>N</i>-acetyl-D-glucosamine 3-sulfate"	"CPD-12567"	"C8H14N1O9S1"	-149.2464    
"&alpha;-<i>N</i>-acetylneuraminyl-(2&rarr;3)-&beta;-D-galactosyl-(1&rarr;4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-(1&rarr;3)-&beta;-D-galactosyl-(1&rarr;4)-&beta;-D-glucosylceramide"	"ACETYLNEURAMINYL-23-BETA-D-GALACTOSYL-ET"	""	
"&alpha;-<i>N</i>-acetylneuraminyl-(2&rarr;3)-&beta;-D-galactosyl-(1&rarr;4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-R"	"ALPHA-N-ACETYLNEURAMINYL-23-BETA-ETCETER"	""	
"&alpha;-<i>N</i>-acetylneuraminyl-(2->3)-&beta;-D-galactosyl-(1->3)-<i>N</i>-acetyl-D-galactosaminyl-R"	"ALPHA-N-ACETYLNEURAMINYL-ETCETERA"	""	
"&alpha;-<i>N</i>-acetylneuraminyl-(2->3)-&beta;-D-galactosyl-(1->3)-<i>N</i>-acetyl-D-glucosaminyl-R"	"CPD-16487"	""	
"&alpha;-<i>N</i>-acetylneuraminyl-2,3-&beta;-D-galactosyl-1,3-<i>N</i>-acetyl-&alpha;-D-galactosaminyl-[glycoprotein]"	"ALPHA-N-ACETYLNEURAMINYL-ETCETERA-GALACT"	""	
"&alpha;-<i>N</i>-acetylneuraminyl-2,3-&beta;-D-galactosyl-R"	"ALPHA-N-ACETYLNEURAMINYL-23-ETCETERA"	""	
